country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Anguilla,2050,16517,-0.03 %,-5,,,,184,94.7 %,15649,0 %,9735033990,224
Antigua And Barbuda,2020,97929,0.92 %,873,0,34.0,2.0,223,26.2 %,25682,0.00 %,7794798739,201
Antigua And Barbuda,2025,101716,0.76 %,757,0,35.4,2.0,231,26.4 %,26823,0.00 %,8184437460,200
Antigua And Barbuda,2030,104864,0.61 %,630,0,36.9,2.0,238,27.1 %,28408,0.00 %,8548487400,199
Antigua And Barbuda,2035,107296,0.46 %,486,0,38.3,2.0,244,28.4 %,30468,0.00 %,8887524213,199
Antigua And Barbuda,2040,109081,0.33 %,357,0,39.7,2.0,248,30.3 %,33050,0.00 %,9198847240,199
Antigua And Barbuda,2045,110270,0.22 %,238,0,40.6,2.0,251,32.6 %,35951,0.00 %,9481803274,199
Antigua And Barbuda,2050,110896,0.11 %,125, ,41.3,2.0,252,35.0 %,38799,0.00 %,9735033990,197
Argentina,2020,45195774,0.97 %,424072,4800,31.5,2.27,17,92.8 %,41919857,0.58 %,7794798739,32
Argentina,2025,47192100,0.87 %,399265,3800,32.7,2.27,17,93.3 %,44010474,0.58 %,8184437460,32
Argentina,2030,49056162,0.78 %,372812,3080,33.8,2.27,18,93.8 %,45993580,0.57 %,8548487400,34
Argentina,2035,50758200,0.68 %,340408,2400,34.9,2.27,19,94.3 %,47852574,0.57 %,8887524213,36
Argentina,2040,52296794,0.60 %,307719,1600,36.0,2.27,19,94.8 %,49575892,0.57 %,9198847240,35
Argentina,2045,53665212,0.52 %,273684,1200,37.1,2.27,20,95.3 %,51150822,0.57 %,9481803274,37
Argentina,2050,54867256,0.44 %,240409, ,38.2,2.27,20,95.8 %,52564488,0.56 %,9735033990,37
Armenia,2020,2963243,0.26 %,7538,-4998,35.4,1.76,104,62.8 %,1860554,0.04 %,7794798739,137
Armenia,2025,2977276,0.09 %,2807,-4998,37.5,1.76,105,63.2 %,1882155,0.04 %,8184437460,139
Armenia,2030,2967005,-0.07 %,-2054,-4998,39.8,1.76,104,64.2 %,1905794,0.03 %,8548487400,140
Armenia,2035,2940412,-0.18 %,-5319,-4998,41.7,1.76,103,65.8 %,1934202,0.03 %,8887524213,142
Armenia,2040,2905148,-0.24 %,-7053,-4998,42.8,1.76,102,67.7 %,1967348,0.03 %,9198847240,144
Armenia,2045,2864550,-0.28 %,-8120,-4998,43.0,1.76,101,69.6 %,1992815,0.03 %,9481803274,143
Armenia,2050,2816112,-0.34 %,-9688, ,43.2,1.76,99,71.2 %,2004977,0.03 %,9735033990,143
Aruba,2020,106766,0.46 %,485,201,41.0,1.9,593,43.6 %,46511,0.00 %,7794798739,197
Aruba,2025,108752,0.37 %,397,161,41.2,1.9,604,44.4 %,48340,0.00 %,8184437460,198
Aruba,2030,110247,0.27 %,299,129,40.7,1.9,612,45.8 %,50480,0.00 %,8548487400,198
Aruba,2035,111057,0.15 %,162,104,41.3,1.9,617,47.5 %,52768,0.00 %,8887524213,198
Aruba,2040,110928,-0.02 %,-26,83,42.0,1.9,616,49.5 %,54952,0.00 %,9198847240,198
Aruba,2045,109993,-0.17 %,-187,67,42.7,1.9,611,51.6 %,56710,0.00 %,9481803274,198
Aruba,2050,108716,-0.23 %,-255, ,43.3,1.9,604,53.5 %,58214,0.00 %,9735033990,199
Australia,2020,25499884,1.28 %,313476,158246,37.9,1.83,3,85.9 %,21903705,0.33 %,7794798739,55
Australia,2025,26879753,1.06 %,275974,135469,38.9,1.83,3,86.8 %,23335357,0.33 %,8184437460,55
Australia,2030,28177481,0.95 %,259546,139877,40.0,1.83,4,87.8 %,24740161,0.33 %,8548487400,55
Australia,2035,29410244,0.86 %,246553,145797,40.8,1.83,4,88.8 %,26110367,0.33 %,8887524213,57
Australia,2040,30572489,0.78 %,232449,145756,41.3,1.83,4,89.8 %,27469166,0.33 %,9198847240,59
Australia,2045,31702142,0.73 %,225931,145991,41.5,1.83,4,90.9 %,28832697,0.33 %,9481803274,59
Australia,2050,32814113,0.69 %,222394, ,41.8,1.83,4,92.0 %,30186022,0.34 %,9735033990,62
Austria,2020,9006398,0.74 %,65548,65000,43.5,1.53,109,57.3 %,5159360,0.12 %,7794798739,97
Austria,2025,9104438,0.22 %,19608,20000,44.3,1.53,110,58.6 %,5337973,0.11 %,8184437460,100
Austria,2030,9175689,0.16 %,14250,20000,45.5,1.53,111,60.3 %,5531371,0.11 %,8548487400,101
Austria,2035,9211616,0.08 %,7185,20000,46.7,1.53,112,62.2 %,5727293,0.10 %,8887524213,100
Austria,2040,9211789,0.00 %,35,20000,48.0,1.53,112,64.3 %,5925556,0.10 %,9198847240,100
Austria,2045,9184032,-0.06 %,-5551,20000,49.0,1.53,111,66.7 %,6121557,0.10 %,9481803274,102
Austria,2050,9130699,-0.12 %,-10667, ,49.3,1.53,111,68.9 %,6294219,0.09 %,9735033990,101
Azerbaijan,2020,10139177,1.05 %,103286,1200,32.3,2.08,123,56.2 %,5695930,0.13 %,7794798739,90
Azerbaijan,2025,10495686,0.69 %,71302,0,34.6,2.08,127,58.1 %,6101378,0.13 %,8184437460,88
Azerbaijan,2030,10739732,0.46 %,48809,0,36.8,2.08,130,60.4 %,6491335,0.13 %,8548487400,89
Azerbaijan,2035,10925974,0.34 %,37248,0,38.5,2.08,132,63.0 %,6883157,0.12 %,8887524213,91
Azerbaijan,2040,11055057,0.24 %,25817,0,39.3,2.08,134,65.6 %,7252652,0.12 %,9198847240,92
Azerbaijan,2045,11101323,0.08 %,9253,0,39.6,2.08,134,68.2 %,7572049,0.12 %,9481803274,93
Azerbaijan,2050,11064999,-0.07 %,-7265, ,40.3,2.08,134,70.8 %,7832676,0.11 %,9735033990,93
Bahamas,2020,393244,1.00 %,3808,1000,32.3,1.76,39,86.1 %,338674,0.01 %,7794798739,178
Bahamas,2025,410932,0.88 %,3538,1000,33.7,1.76,41,86.7 %,356391,0.01 %,8184437460,177
Bahamas,2030,426813,0.76 %,3176,1000,35.4,1.76,43,87.3 %,372691,0.00 %,8548487400,177
Bahamas,2035,440087,0.61 %,2655,1000,37.1,1.76,44,88.0 %,387162,0.00 %,8887524213,177
Bahamas,2040,450453,0.47 %,2073,1000,38.7,1.76,45,88.7 %,399720,0.00 %,9198847240,178
Bahamas,2045,458141,0.34 %,1538,1000,40.1,1.76,46,89.6 %,410554,0.00 %,9481803274,178
Bahamas,2050,463333,0.23 %,1038, ,41.3,1.76,46,90.6 %,419945,0.00 %,9735033990,179
Bahrain,2020,1701575,4.40 %,65945,47800,32.5,2.0,2239,89.3 %,1519595,0.02 %,7794798739,152
Bahrain,2025,1865081,1.85 %,32701,15000,33.8,2.0,2454,90.0 %,1678649,0.02 %,8184437460,151
Bahrain,2030,2013416,1.54 %,29667,13000,34.3,2.0,2649,90.8 %,1828495,0.02 %,8548487400,151
Bahrain,2035,2118997,1.03 %,21116,6000,35.5,2.0,2788,91.6 %,1941261,0.02 %,8887524213,149
Bahrain,2040,2199711,0.75 %,16143,4000,36.9,2.0,2894,92.3 %,2030932,0.02 %,9198847240,150
Bahrain,2045,2264664,0.58 %,12991,4000,38.0,2.0,2980,93.0 %,2105879,0.02 %,9481803274,149
Bahrain,2050,2316049,0.45 %,10277, ,39.9,2.0,3047,93.6 %,2168914,0.02 %,9735033990,149
Bangladesh,2020,164689383,1.06 %,1686621,-369501,27.6,2.05,1265,39.4 %,64814953,2.11 %,7794798739,8
Bangladesh,2025,172399078,0.92 %,1541939,-348061,29.5,2.05,1324,43.4 %,74837709,2.11 %,8184437460,8
Bangladesh,2030,178993869,0.75 %,1318958,-330093,31.6,2.05,1375,47.3 %,84688911,2.09 %,8548487400,8
Bangladesh,2035,184374127,0.59 %,1076052,-311798,33.8,2.05,1416,51.0 %,93957922,2.07 %,8887524213,8
Bangladesh,2040,188416727,0.43 %,808520,-311802,35.9,2.05,1447,54.4 %,102422390,2.05 %,9198847240,8
Bangladesh,2045,191142270,0.29 %,545109,-311080,38.0,2.05,1468,57.8 %,110433246,2.02 %,9481803274,8
Bangladesh,2050,192567778,0.15 %,285102, ,40.0,2.05,1479,61.2 %,117836927,1.98 %,9735033990,9
Barbados,2020,287375,0.14 %,410,-79,40.5,1.62,668,31.2 %,89695,0.00 %,7794798739,183
Barbados,2025,288806,0.10 %,286,-79,41.9,1.62,672,31.8 %,91766,0.00 %,8184437460,185
Barbados,2030,289444,0.04 %,128,-79,43.1,1.62,673,32.8 %,95042,0.00 %,8548487400,186
Barbados,2035,288924,-0.04 %,-104,-79,44.2,1.62,672,34.5 %,99579,0.00 %,8887524213,187
Barbados,2040,286647,-0.16 %,-455,-79,45.3,1.62,667,36.5 %,104766,0.00 %,9198847240,187
Barbados,2045,282528,-0.29 %,-824,-79,46.3,1.62,657,38.8 %,109686,0.00 %,9481803274,187
Barbados,2050,277011,-0.39 %,-1103, ,47.3,1.62,644,41.3 %,114418,0.00 %,9735033990,187
Belarus,2020,9449323,0.02 %,1980,8730,40.3,1.71,47,79.2 %,7483636,0.12 %,7794798739,96
Belarus,2025,9385438,-0.14 %,-12777,3000,41.5,1.71,46,80.9 %,7589573,0.11 %,8184437460,97
Belarus,2030,9264784,-0.26 %,-24131,3000,43.2,1.71,46,82.4 %,7630620,0.11 %,8548487400,100
Belarus,2035,9105605,-0.35 %,-31836,3000,45.1,1.71,45,83.8 %,7628605,0.10 %,8887524213,102
Belarus,2040,8937816,-0.37 %,-33558,3000,46.1,1.71,44,85.2 %,7610642,0.10 %,9198847240,101
Belarus,2045,8781029,-0.35 %,-31357,3000,45.2,1.71,43,86.4 %,7589814,0.09 %,9481803274,104
Belarus,2050,8634225,-0.34 %,-29361, ,44.0,1.71,43,87.6 %,7566424,0.09 %,9735033990,108
Belgium,2020,11589623,0.53 %,60337,48000,41.9,1.71,383,98.3 %,11396775,0.15 %,7794798739,81
Belgium,2025,11757510,0.29 %,33577,24000,42.8,1.71,388,98.8 %,11613585,0.14 %,8184437460,83
Belgium,2030,11903750,0.25 %,29248,24000,43.7,1.71,393,99.2 %,11811439,0.14 %,8548487400,83
Belgium,2035,12026483,0.21 %,24547,24000,44.5,1.71,397,99.6 %,11983927,0.14 %,8887524213,86
Belgium,2040,12121113,0.16 %,18926,24000,45.2,1.71,400,N.A.,N.A.,0.13 %,9198847240,88
Belgium,2045,12187306,0.11 %,13239,24000,45.4,1.71,402,N.A.,N.A.,0.13 %,9481803274,89
Belgium,2050,12220765,0.05 %,6692, ,45.4,1.71,404,N.A.,N.A.,0.13 %,9735033990,91
Belize,2020,397628,1.96 %,7339,1200,25.5,2.32,17,46.1 %,183182,0.01 %,7794798739,177
Belize,2025,433715,1.75 %,7217,1102,27.4,2.32,19,47.4 %,205478,0.01 %,8184437460,176
Belize,2030,467633,1.52 %,6784,1000,29.2,2.32,21,49.1 %,229676,0.01 %,8548487400,175
Belize,2035,498555,1.29 %,6184,902,31.1,2.32,22,51.3 %,255936,0.01 %,8887524213,174
Belize,2040,526157,1.08 %,5520,800,32.9,2.32,23,53.9 %,283460,0.01 %,9198847240,174
Belize,2045,550344,0.90 %,4837,702,34.6,2.32,24,56.5 %,310924,0.01 %,9481803274,174
Belize,2050,571042,0.74 %,4140, ,36.2,2.32,25,59.2 %,338138,0.01 %,9735033990,174
Benin,2020,12123200,2.77 %,309450,-2000,18.8,4.87,108,48.4 %,5869303,0.16 %,7794798739,77
Benin,2025,13822071,2.66 %,339774,-2000,19.4,4.87,123,51.2 %,7076087,0.17 %,8184437460,77
Benin,2030,15672304,2.54 %,370047,-2000,20.1,4.87,139,54.0 %,8460898,0.18 %,8548487400,78
Benin,2035,17662700,2.42 %,398079,-2000,20.9,4.87,157,56.8 %,10024184,0.20 %,8887524213,78
Benin,2040,19775013,2.28 %,422463,-2000,21.7,4.87,175,59.4 %,11754769,0.21 %,9198847240,75
Benin,2045,21986225,2.14 %,442242,-2000,22.5,4.87,195,62.0 %,13638450,0.23 %,9481803274,73
Benin,2050,24280477,2.00 %,458850, ,23.3,4.87,215,64.5 %,15661166,0.25 %,9735033990,69
Bermuda,2020,62278,-0.45 %,-283,,,,1246,97.4 %,60639,0 %,7794798739,206
Bermuda,2025,61510,-0.25 %,-154,,,,1230,97.6 %,60045,0 %,8184437460,206
Bermuda,2030,60492,-0.33 %,-204,,,,1210,98 %,59273,0 %,8548487400,208
Bermuda,2035,59164,-0.44 %,-266,,,,1183,98.4 %,58225,0 %,8887524213,208
Bermuda,2040,57513,-0.56 %,-330,,,,1150,98.9 %,56866,0 %,9198847240,208
Bermuda,2045,55513,-0.71 %,-400,,,,1110,99.4 %,55196,0 %,9481803274,209
Bermuda,2050,53278,-0.82 %,-447,,,,1066,N.A.,N.A.,0 %,9735033990,210
Bhutan,2020,771608,1.17 %,8746,320,28.1,2.0,20,45.8 %,353445,0.01 %,7794798739,165
Bhutan,2025,810540,0.99 %,7786,300,30.6,2.0,21,49.4 %,400623,0.01 %,8184437460,164
Bhutan,2030,842670,0.78 %,6426,300,33.0,2.0,22,52.7 %,443902,0.01 %,8548487400,165
Bhutan,2035,867375,0.58 %,4941,300,35.4,2.0,23,55.6 %,481835,0.01 %,8887524213,165
Bhutan,2040,885155,0.41 %,3556,300,37.7,2.0,23,58.2 %,514740,0.01 %,9198847240,165
Bhutan,2045,897387,0.27 %,2446,300,40.0,2.0,24,60.8 %,545317,0.01 %,9481803274,166
Bhutan,2050,904616,0.16 %,1446, ,42.1,2.0,24,63.4 %,573267,0.01 %,9735033990,166
Bolivia,2020,11673021,1.44 %,160658,-9504,25.6,2.75,11,69.3 %,8094974,0.15 %,7794798739,80
Bolivia,2025,12468487,1.33 %,159093,-7600,27.1,2.75,12,71.3 %,8887268,0.15 %,8184437460,79
Bolivia,2030,13240382,1.21 %,154379,-6140,28.5,2.75,12,73.3 %,9700301,0.15 %,8548487400,80
Bolivia,2035,13970505,1.08 %,146025,-5040,30.0,2.75,13,75.3 %,10520182,0.16 %,8887524213,80
Bolivia,2040,14653111,0.96 %,136521,-4040,31.5,2.75,14,77.3 %,11327685,0.16 %,9198847240,80
Bolivia,2045,15277192,0.84 %,124816,-3280,32.9,2.75,14,79.2 %,12106893,0.16 %,9481803274,80
Bolivia,2050,15839563,0.73 %,112474, ,34.3,2.75,15,81.1 %,12843627,0.16 %,9735033990,81
Bosnia And Herzegovina,2020,3280819,-0.88 %,-29708,-21585,43.1,1.27,64,52.3 %,1714810,0.04 %,7794798739,135
Bosnia And Herzegovina,2025,3211970,-0.42 %,-13770,-501,44.7,1.27,63,55.1 %,1768228,0.04 %,8184437460,136
Bosnia And Herzegovina,2030,3126648,-0.54 %,-17064,-501,46.6,1.27,61,58.3 %,1823937,0.04 %,8548487400,137
Bosnia And Herzegovina,2035,3029820,-0.63 %,-19366,-501,48.2,1.27,59,61.9 %,1875651,0.03 %,8887524213,140
Bosnia And Herzegovina,2040,2923075,-0.71 %,-21349,-501,49.4,1.27,57,65.7 %,1919381,0.03 %,9198847240,142
Bosnia And Herzegovina,2045,2807634,-0.80 %,-23088,-501,50.1,1.27,55,69.5 %,1952260,0.03 %,9481803274,144
Bosnia And Herzegovina,2050,2685037,-0.89 %,-24519, ,51.4,1.27,53,73.6 %,1975983,0.03 %,9735033990,145
Botswana,2020,2351627,2.09 %,46182,3000,24.0,2.89,4,72.8 %,1712212,0.03 %,7794798739,145
Botswana,2025,2567774,1.77 %,43229,3000,25.2,2.89,5,75.4 %,1937024,0.03 %,8184437460,145
Botswana,2030,2774340,1.56 %,41313,3000,26.5,2.89,5,77.5 %,2151354,0.03 %,8548487400,144
Botswana,2035,2974718,1.40 %,40076,3000,27.9,2.89,5,79.1 %,2353033,0.03 %,8887524213,143
Botswana,2040,3167786,1.27 %,38614,3000,29.3,2.89,6,80.2 %,2540719,0.03 %,9198847240,140
Botswana,2045,3347926,1.11 %,36028,3000,30.8,2.89,6,81.0 %,2712627,0.04 %,9481803274,140
Botswana,2050,3509819,0.95 %,32379, ,32.3,2.89,6,81.8 %,2870743,0.04 %,9735033990,139
Brazil,2020,212559417,0.78 %,1617530,21200,33.5,1.74,25,87.6 %,186217070,2.73 %,7794798739,6
Brazil,2025,219020907,0.60 %,1292298,6000,35.6,1.74,26,88.8 %,194451506,2.68 %,8184437460,7
Brazil,2030,223852122,0.44 %,966243,6000,37.6,1.74,27,89.9 %,201296099,2.62 %,8548487400,7
Brazil,2035,227183594,0.30 %,666294,2000,39.6,1.74,27,91.0 %,206742576,2.56 %,8887524213,7
Brazil,2040,229058888,0.16 %,375059,2000,41.6,1.74,27,92.0 %,210796522,2.49 %,9198847240,7
Brazil,2045,229604528,0.05 %,109128,2000,43.4,1.74,27,93.0 %,213520940,2.42 %,9481803274,7
Brazil,2050,228980400,-0.05 %,-124826, ,45.1,1.74,27,93.9 %,215063348,2.35 %,9735033990,7
British Virgin Islands,2020,30231,0.73 %,216,,,,202,52.4 %,15832,0 %,7794798739,220
British Virgin Islands,2025,31096,0.57 %,173,,,,207,55.5 %,17262,0 %,8184437460,220
British Virgin Islands,2030,31764,0.43 %,134,,,,212,58.6 %,18627,0 %,8548487400,220
British Virgin Islands,2035,32157,0.25 %,79,,,,214,61.9 %,19892,0 %,8887524213,220
British Virgin Islands,2040,32240,0.05 %,17,,,,215,65.3 %,21042,0 %,9198847240,220
British Virgin Islands,2045,32011,-0.14 %,-46,,,,213,69 %,22101,0 %,9481803274,220
British Virgin Islands,2050,31541,-0.3 %,-94,,,,210,73.1 %,23063,0 %,9735033990,220
Brunei,2020,437479,1.07 %,4514,0,32.3,1.85,83,79.5 %,347838,0.01 %,7794798739,175
Brunei,2025,456189,0.84 %,3742,0,34.7,1.85,87,81.9 %,373730,0.01 %,8184437460,174
Brunei,2030,470990,0.64 %,2960,0,36.8,1.85,89,84.3 %,397083,0.01 %,8548487400,174
Brunei,2035,481779,0.45 %,2158,0,38.9,1.85,91,86.6 %,417408,0.01 %,8887524213,175
Brunei,2040,488818,0.29 %,1408,0,40.9,1.85,93,88.9 %,434500,0.01 %,9198847240,175
Brunei,2045,492383,0.15 %,713,0,42.5,1.85,93,91.1 %,448625,0.01 %,9481803274,177
Brunei,2050,492385,0.00 %,0, ,43.9,1.85,93,93.4 %,459837,0.01 %,9735033990,177
Bulgaria,2020,6948445,-0.71 %,-50259,-4800,44.6,1.56,64,75.6 %,5253037,0.09 %,7794798739,107
Bulgaria,2025,6686471,-0.77 %,-52395,-4800,46.0,1.56,62,77.5 %,5179498,0.08 %,8184437460,110
Bulgaria,2030,6416749,-0.82 %,-53944,-4800,47.1,1.56,59,79.2 %,5082261,0.08 %,8548487400,113
Bulgaria,2035,6141131,-0.87 %,-55124,-4800,48.1,1.56,57,80.8 %,4964822,0.07 %,8887524213,119
Bulgaria,2040,5873296,-0.89 %,-53567,-4800,49.0,1.56,54,82.5 %,4842632,0.06 %,9198847240,122
Bulgaria,2045,5622640,-0.87 %,-50131,-4800,49.1,1.56,52,84.0 %,4724481,0.06 %,9481803274,123
Bulgaria,2050,5385441,-0.86 %,-47440, ,48.1,1.56,50,85.5 %,4606350,0.06 %,9735033990,128
Burkina Faso,2020,20903273,2.91 %,558530,-25000,17.6,5.23,76,30.6 %,6397911,0.27 %,7794798739,59
Burkina Faso,2025,23995149,2.80 %,618375,-25000,18.2,5.23,88,33.8 %,8113116,0.29 %,8184437460,58
Burkina Faso,2030,27404039,2.69 %,681778,-25000,19.0,5.23,100,37.1 %,10163069,0.32 %,8548487400,56
Burkina Faso,2035,31106139,2.57 %,740420,-25000,19.8,5.23,114,40.4 %,12558811,0.35 %,8887524213,55
Burkina Faso,2040,35051012,2.42 %,788975,-25000,20.7,5.23,128,43.6 %,15282220,0.38 %,9198847240,55
Burkina Faso,2045,39175624,2.25 %,824922,-25000,21.7,5.23,143,46.8 %,18314837,0.41 %,9481803274,52
Burkina Faso,2050,43432184,2.08 %,851312, ,22.7,5.23,159,49.9 %,21677231,0.45 %,9735033990,50
Burundi,2020,11890784,3.20 %,346151,2001,17.3,5.45,463,13.8 %,1636586,0.15 %,7794798739,78
Burundi,2025,13763922,2.97 %,374628,2001,17.8,5.45,536,15.6 %,2146694,0.17 %,8184437460,78
Burundi,2030,15772822,2.76 %,401780,2001,18.7,5.45,614,17.6 %,2780242,0.18 %,8548487400,77
Burundi,2035,17932084,2.60 %,431852,2001,19.7,5.45,698,19.9 %,3568656,0.20 %,8887524213,77
Burundi,2040,20252941,2.46 %,464171,2001,20.7,5.45,789,22.5 %,4548959,0.22 %,9198847240,74
Burundi,2045,22727675,2.33 %,494947,2001,21.8,5.45,885,25.3 %,5749545,0.24 %,9481803274,70
Burundi,2050,25324761,2.19 %,519417, ,22.7,5.45,986,28.4 %,7182692,0.26 %,9735033990,67
Cabo Verde,2020,555987,1.16 %,6249,-1342,27.6,2.29,138,68.0 %,378148,0.01 %,7794798739,172
Cabo Verde,2025,584320,1.00 %,5667,-1244,30.2,2.29,145,70.9 %,414288,0.01 %,8184437460,172
Cabo Verde,2030,610057,0.87 %,5147,-933,32.3,2.29,151,73.8 %,449958,0.01 %,8548487400,172
Cabo Verde,2035,632890,0.74 %,4567,-700,34.2,2.29,157,76.4 %,483813,0.01 %,8887524213,171
Cabo Verde,2040,652379,0.61 %,3898,-525,35.9,2.29,162,78.9 %,514953,0.01 %,9198847240,171
Cabo Verde,2045,668007,0.47 %,3126,-393,37.4,2.29,166,81.3 %,543170,0.01 %,9481803274,171
Cabo Verde,2050,679394,0.34 %,2277, ,38.9,2.29,169,83.7 %,568705,0.01 %,9735033990,171
Cambodia,2020,16718965,1.50 %,239506,-30000,25.6,2.52,95,24.2 %,4050459,0.21 %,7794798739,71
Cambodia,2025,17805565,1.27 %,217320,-30000,27.2,2.52,101,26.5 %,4721141,0.22 %,8184437460,72
Cambodia,2030,18781033,1.07 %,195094,-30000,28.5,2.52,106,29.1 %,5457774,0.22 %,8548487400,71
Cambodia,2035,19685527,0.95 %,180899,-30000,29.6,2.52,112,31.9 %,6271831,0.22 %,8887524213,71
Cambodia,2040,20526530,0.84 %,168201,-30000,31.0,2.52,116,34.9 %,7162015,0.22 %,9198847240,72
Cambodia,2045,21261027,0.71 %,146899,-30000,32.5,2.52,120,38.1 %,8101923,0.22 %,9481803274,74
Cambodia,2050,21860919,0.56 %,119978, ,34.0,2.52,124,41.5 %,9061599,0.22 %,9735033990,75
