country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
Andorra,2018,77006,0.01 %,5,164,88 %,67766,0.00 %,7631091040,203,,,
Andorra,2017,77001,-0.38 %,-296,164,88.1 %,67845,0.00 %,7547858925,203,,,
Andorra,2016,77297,-0.92 %,-714,164,88.2 %,68199,0 %,7464022049,203,,,
Andorra,2015,78011,-1.57 %,-1288,166,88.3 %,68921,0 %,7379797139,203,,,
Andorra,2010,84449,1.38 %,1116,180,88.8 %,75007,0 %,6956823603,203,,,
Andorra,2005,78867,3.82 %,2695,168,90.3 %,71205,0 %,6541907027,203,,,
Andorra,2000,65390,0.48 %,308,139,92.4 %,60417,0 %,6143493823,204,,,
Andorra,1995,63850,3.21 %,1868,136,93.7 %,59803,0 %,5744212979,204,,,
Andorra,1990,54509,4.09 %,1982,116,94.7 %,51627,0 %,5327231061,206,,,
Andorra,1985,44600,4.34 %,1707,95,95.2 %,42441,0 %,4870921740,207,,,
Andorra,1980,36067,3.27 %,1072,77,92.1 %,33205,0 %,4458003514,208,,,
Andorra,1975,30705,4.81 %,1286,65,87.3 %,26791,0 %,4079480606,208,,,
Andorra,1970,24276,5.53 %,1145,52,80.2 %,19458,0 %,3700437046,210,,,
Andorra,1965,18549,6.7 %,1028,39,24.2 %,4484,0 %,3339583597,216,,,
Andorra,1960,13411,7.75 %,836,29,58.5 %,7839,0 %,3034949748,215,,,
Andorra,1955,9232,8.3 %,607,20,48.6 %,4484,0 %,2773019936,216,,,
Angola,2020,32866272,3.27 %,1040977,6413,16.7,5.55,26,66.7 %,21936953,0.42 %,7794798739.0,44.0
Angola,2019,31825295,3.30 %,1015508,6413,16.4,5.91,26,66.1 %,21035940,0.41 %,7713468100.0,45.0
Angola,2018,30809787,3.33 %,993021,6413,16.4,5.91,25,65.4 %,20161538,0.40 %,7631091040.0,45.0
Angola,2017,29816766,3.38 %,974277,6413,16.4,5.91,24,64.8 %,19311639,0.40 %,7547858925.0,45.0
Angola,2016,28842489,3.44 %,958108,6413,16.4,5.91,23,64.1 %,18483603,0.39 %,7464022049.0,46.0
Angola,2015,27884381,3.61 %,905627,33253,16.4,6.0,22,63.4 %,17675745,0.38 %,7379797139.0,46.0
Angola,2010,23356246,3.75 %,784529,71460,16.4,6.35,19,59.8 %,13970854,0.34 %,6956823603.0,50.0
Angola,2005,19433602,3.46 %,607626,52220,16.4,6.55,16,56.3 %,10949424,0.30 %,6541907027.0,55.0
Angola,2000,16395473,3.29 %,490053,39960,16.3,6.75,13,50.2 %,8234824,0.27 %,6143493823.0,57.0
Angola,1995,13945206,3.31 %,419364,28562,16.1,7.1,11,45.2 %,6302478,0.24 %,5744212979.0,60.0
Angola,1990,11848386,3.53 %,377278,37698,16.1,7.4,10,38.2 %,4520997,0.22 %,5327231061.0,59.0
Angola,1985,9961997,3.62 %,324142,46830,16.3,7.46,8,32.3 %,3218567,0.20 %,4870921740.0,64.0
Angola,1980,8341289,3.50 %,263458,39960,16.8,7.46,7,26.0 %,2169810,0.19 %,4458003514.0,69.0
Angola,1975,7024000,3.58 %,226727,39960,16.9,7.5,6,20.9 %,1469515,0.17 %,4079480606.0,72.0
Angola,1970,5890365,0.41 %,23959,-117457,17.6,7.3,5,17.2 %,1013531,0.16 %,3700437046.0,75.0
Angola,1965,5770570,1.13 %,63127,-59343,18.4,6.9,5,13.4 %,775667,0.17 %,3339583597.0,68.0
Angola,1960,5454933,1.58 %,82337,-34577,20.2,6.5,4,10.8 %,588842,0.18 %,3034949748.0,68.0
Angola,1955,5043247,2.09 %,99045,0,19.6,6.0,4,9.0 %,455428,0.18 %,2773019936.0,68.0
Anguilla,2019,14869,0.94 %,138,165,N.A.,N.A.,0.00 %,7713468100,224,,,
Anguilla,2018,14731,1.01 %,147,164,N.A.,N.A.,0.00 %,7631091040,224,,,
Anguilla,2017,14584,1.07 %,155,162,N.A.,N.A.,0.00 %,7547858925,224,,,
Anguilla,2016,14429,1.05 %,150,160,N.A.,N.A.,0 %,7464022049,224,,,
Anguilla,2015,14279,1.22 %,168,159,N.A.,N.A.,0 %,7379797139,224,,,
Anguilla,2010,13438,1.53 %,197,149,N.A.,N.A.,0 %,6956823603,224,,,
Anguilla,2005,12453,2.05 %,240,138,N.A.,N.A.,0 %,6541907027,225,,,
Anguilla,2000,11252,2.66 %,277,125,98.4 %,11070,0 %,6143493823,225,,,
Anguilla,1995,9866,2.08 %,193,110,99.4 %,9802,0 %,5744212979,226,,,
Anguilla,1990,8899,4.06 %,321,99,93.7 %,8334,0 %,5327231061,228,,,
Anguilla,1985,7293,0.02 %,2,81,91.3 %,6662,0 %,4870921740,228,,,
Anguilla,1980,7285,0.35 %,25,81,92 %,6702,0 %,4458003514,228,,,
Anguilla,1975,7159,1.12 %,78,80,92.6 %,6629,0 %,4079480606,225,,,
Anguilla,1970,6771,1.26 %,82,75,94.6 %,6403,0 %,3700437046,224,,,
Anguilla,1965,6361,1.07 %,66,71,89.6 %,5700,0 %,3339583597,223,,,
Anguilla,1960,6032,0.85 %,50,67,97.2 %,5864,0 %,3034949748,223,,,
Anguilla,1955,5783,2.47 %,133,64,98.6 %,5700,0 %,2773019936,223,,,
Antigua And Barbuda,2020,97929,0.84 %,811,0,34.0,2.0,223,26.2 %,25682,0.00 %,7794798739.0,201.0
Antigua And Barbuda,2019,97118,0.86 %,832,0,32.8,2.0,221,26.3 %,25507,0.00 %,7713468100.0,201.0
Antigua And Barbuda,2018,96286,0.90 %,860,0,32.8,2.0,219,26.3 %,25350,0.00 %,7631091040.0,201.0
Antigua And Barbuda,2017,95426,0.95 %,899,0,32.8,2.0,217,26.4 %,25210,0.00 %,7547858925.0,201.0
Antigua And Barbuda,2016,94527,1.03 %,961,0,32.8,2.0,215,26.5 %,25085,0.00 %,7464022049.0,201.0
Antigua And Barbuda,2015,93566,1.23 %,1108,189,32.6,2.0,213,26.7 %,24981,0.00 %,7379797139.0,201.0
Antigua And Barbuda,2010,88028,1.56 %,1313,377,31.1,2.0,200,28.2 %,24837,0.00 %,6956823603.0,201.0
Antigua And Barbuda,2005,81465,1.39 %,1090,50,29.5,2.16,185,32.0 %,26078,0.00 %,6541907027.0,201.0
Antigua And Barbuda,2000,76016,2.05 %,1469,494,28.1,2.2,173,35.3 %,26853,0.00 %,6143493823.0,202.0
Antigua And Barbuda,1995,68670,1.89 %,1228,446,26.5,2.09,156,36.4 %,25002,0.00 %,5744212979.0,203.0
Antigua And Barbuda,1990,62528,0.24 %,148,-578,25.2,2.07,142,37.8 %,23628,0.00 %,5327231061.0,202.0
Antigua And Barbuda,1985,61786,-0.03 %,-16,-753,23.1,2.14,140,39.6 %,24438,0.00 %,4870921740.0,203.0
Antigua And Barbuda,1980,61865,-0.26 %,-162,-886,21.0,2.24,141,41.1 %,25424,0.00 %,4458003514.0,200.0
Antigua And Barbuda,1975,62675,-0.47 %,-300,-1404,19.0,3.26,142,39.1 %,24503,0.00 %,4079480606.0,197.0
Antigua And Barbuda,1970,64177,1.80 %,1096,-240,17.4,4.0,146,35.4 %,22692,0.00 %,3700437046.0,196.0
Antigua And Barbuda,1965,58698,1.63 %,913,-376,17.8,4.3,133,37.9 %,22252,0.00 %,3339583597.0,194.0
Antigua And Barbuda,1960,54131,1.74 %,897,-300,18.5,4.5,123,40.5 %,21945,0.00 %,3034949748.0,194.0
Antigua And Barbuda,1955,49648,1.75 %,826,-195,18.8,4.5,113,37.2 %,18455,0.00 %,2773019936.0,194.0
Argentina,2020,45195774,0.93 %,415097,4800,31.5,2.27,17,92.8 %,41919857,0.58 %,7794798739.0,32.0
Argentina,2019,44780677,0.95 %,419527,4800,30.7,2.32,16,92.7 %,41489566,0.58 %,7713468100.0,31.0
Argentina,2018,44361150,0.97 %,424010,4800,30.7,2.32,16,92.5 %,41055867,0.58 %,7631091040.0,31.0
Argentina,2017,43937140,0.99 %,428680,4800,30.7,2.32,16,92.4 %,40618237,0.58 %,7547858925.0,32.0
Argentina,2016,43508460,1.01 %,433044,4800,30.7,2.32,16,92.3 %,40175981,0.58 %,7464022049.0,32.0
Argentina,2015,43075416,1.04 %,435933,6000,30.5,2.33,16,92.2 %,39728358,0.58 %,7379797139.0,32.0
Argentina,2010,40895752,1.01 %,400564,-24000,29.6,2.37,15,91.6 %,37451589,0.59 %,6956823603.0,32.0
Argentina,2005,38892931,1.07 %,404429,-25000,28.5,2.48,14,90.6 %,35243134,0.59 %,6541907027.0,30.0
Argentina,2000,36870787,1.15 %,408523,-25600,27.6,2.63,13,89.6 %,33033759,0.60 %,6143493823.0,31.0
Argentina,1995,34828170,1.32 %,441904,-21000,27.1,2.91,13,88.6 %,30852828,0.61 %,5744212979.0,31.0
Argentina,1990,32618651,1.54 %,480474,32000,27.0,3.05,12,87.3 %,28469564,0.61 %,5327231061.0,31.0
Argentina,1985,30216279,1.61 %,463950,28000,27.1,3.15,11,85.5 %,25841892,0.62 %,4870921740.0,29.0
Argentina,1980,27896528,1.52 %,406150,-46000,27.2,3.4,10,83.5 %,23296076,0.63 %,4458003514.0,29.0
Argentina,1975,25865776,1.61 %,397043,28400,27.2,3.15,9,81.6 %,21106293,0.63 %,4079480606.0,28.0
Argentina,1970,23880561,1.51 %,344182,26000,27.1,3.05,9,79.2 %,18909965,0.65 %,3700437046.0,28.0
Argentina,1965,22159650,1.59 %,335574,24400,26.9,3.09,8,76.8 %,17017687,0.66 %,3339583597.0,28.0
Argentina,1960,20481779,1.74 %,338472,28167,26.6,3.13,7,74.1 %,15177946,0.67 %,3034949748.0,28.0
Argentina,1955,18789418,1.98 %,350301,56018,26.0,3.15,7,70.2 %,13181070,0.68 %,2773019936.0,28.0
Armenia,2020,2963243,0.19 %,5512,-4998,35.4,1.76,104,62.8 %,1860554,0.04 %,7794798739.0,137.0
Armenia,2019,2957731,0.20 %,5986,-4998,34.1,1.73,104,62.8 %,1856542,0.04 %,7713468100.0,137.0
Armenia,2018,2951745,0.24 %,6954,-4998,34.1,1.73,104,62.8 %,1852877,0.04 %,7631091040.0,138.0
Armenia,2017,2944791,0.29 %,8648,-4998,34.1,1.73,103,62.8 %,1849202,0.04 %,7547858925.0,138.0
Armenia,2016,2936143,0.36 %,10590,-4998,34.1,1.73,103,62.8 %,1845024,0.04 %,7464022049.0,138.0
Armenia,2015,2925553,0.33 %,9647,-6107,33.8,1.72,103,62.9 %,1840151,0.04 %,7379797139.0,139.0
Armenia,2010,2877319,-0.71 %,-20790,-36672,32.9,1.72,101,63.4 %,1825365,0.04 %,6956823603.0,139.0
Armenia,2005,2981269,-0.58 %,-17664,-32104,31.8,1.65,105,63.9 %,1906167,0.05 %,6541907027.0,136.0
Armenia,2000,3069591,-0.94 %,-29551,-44775,30.6,1.75,108,64.7 %,1984990,0.05 %,6143493823.0,133.0
Armenia,1995,3217348,-1.88 %,-64165,-99258,29.4,2.38,113,66.1 %,2125290,0.06 %,5744212979.0,129.0
Armenia,1990,3538171,1.18 %,40446,-13506,27.2,2.6,124,67.4 %,2385458,0.07 %,5327231061.0,121.0
Armenia,1985,3335940,1.48 %,47237,-10246,25.3,2.5,117,67.1 %,2238065,0.07 %,4870921740.0,119.0
Armenia,1980,3099754,1.82 %,53399,3443,23.5,2.6,109,66.0 %,2047372,0.07 %,4458003514.0,120.0
Armenia,1975,2832759,2.33 %,61538,17281,21.8,3.04,99,63.6 %,1801955,0.07 %,4079480606.0,118.0
Armenia,1970,2525068,2.69 %,62750,20680,20.3,3.45,89,59.9 %,1511615,0.07 %,3700437046.0,119.0
Armenia,1965,2211319,3.36 %,67440,14067,20.6,4.45,78,55.6 %,1229971,0.07 %,3339583597.0,121.0
Armenia,1960,1874121,3.69 %,62123,11986,22.4,4.9,66,51.3 %,960959,0.06 %,3034949748.0,121.0
Armenia,1955,1563507,2.93 %,41999,9973,22.7,4.49,55,46.0 %,718453,0.06 %,2773019936.0,121.0
Aruba,2020,106766,0.43 %,452,201,41.0,1.9,593,43.6 %,46511,0.00 %,7794798739.0,197.0
Aruba,2019,106314,0.44 %,469,201,40.3,1.82,591,43.4 %,46182,0.00 %,7713468100.0,197.0
Aruba,2018,105845,0.45 %,479,201,40.3,1.82,588,43.3 %,45872,0.00 %,7631091040.0,197.0
Aruba,2017,105366,0.47 %,494,201,40.3,1.82,585,43.3 %,45572,0.00 %,7547858925.0,197.0
Aruba,2016,104872,0.51 %,531,201,40.3,1.82,583,43.2 %,45275,0.00 %,7464022049.0,197.0
Aruba,2015,104341,0.52 %,534,251,40.1,1.8,580,43.1 %,44979,0.00 %,7379797139.0,198.0
Aruba,2010,101669,0.33 %,328,-88,38.4,1.76,565,43.1 %,43778,0.00 %,6956823603.0,199.0
Aruba,2005,100031,1.94 %,1836,1253,36.2,1.82,556,44.9 %,44889,0.00 %,6541907027.0,198.0
Aruba,2000,90853,2.49 %,2106,1385,34.4,1.95,505,46.7 %,42444,0.00 %,6143493823.0,198.0
Aruba,1995,80324,5.26 %,3635,2844,32.5,2.17,446,48.8 %,39171,0.00 %,5744212979.0,198.0
Aruba,1990,62149,-0.28 %,-175,-1039,31.2,2.3,345,50.3 %,31273,0.00 %,5327231061.0,203.0
Aruba,1985,63026,0.96 %,586,-384,28.0,2.36,350,50.4 %,31762,0.00 %,4870921740.0,202.0
Aruba,1980,60096,-0.19 %,-112,-1094,26.0,2.45,334,50.5 %,30331,0.00 %,4458003514.0,201.0
Aruba,1975,60657,0.53 %,319,-707,23.9,2.65,337,50.5 %,30661,0.00 %,4079480606.0,198.0
Aruba,1970,59063,0.59 %,341,-855,20.8,3.3,328,50.6 %,29900,0.00 %,3700437046.0,198.0
Aruba,1965,57360,1.14 %,630,-865,19.1,4.4,319,50.7 %,29082,0.00 %,3339583597.0,196.0
Aruba,1960,54211,4.39 %,2097,557,18.1,5.15,301,50.8 %,27526,0.00 %,3034949748.0,193.0
Aruba,1955,43724,2.81 %,1131,-316,18.1,5.65,243,50.9 %,22235,0.00 %,2773019936.0,196.0
Australia,2020,25499884,1.18 %,296686,158246,37.9,1.83,3,85.9 %,21903705,0.33 %,7794798739.0,55.0
Australia,2019,25203198,1.23 %,305046,158246,37.3,1.87,3,85.7 %,21607414,0.33 %,7713468100.0,55.0
Australia,2018,24898152,1.28 %,313532,158246,37.3,1.87,3,85.6 %,21307040,0.33 %,7631091040.0,55.0
Australia,2017,24584620,1.33 %,321908,158246,37.3,1.87,3,85.4 %,21003923,0.33 %,7547858925.0,53.0
Australia,2016,24262712,1.38 %,330210,158246,37.3,1.87,3,85.3 %,20700043,0.33 %,7464022049.0,53.0
Australia,2015,23932502,1.56 %,355565,197875,37.2,1.89,3,85.2 %,20396531,0.32 %,7379797139.0,53.0
Australia,2010,22154679,1.89 %,395228,242160,36.8,1.95,3,85.0 %,18842292,0.32 %,6956823603.0,53.0
Australia,2005,20178540,1.22 %,237422,117856,36.5,1.77,3,84.8 %,17118434,0.31 %,6541907027.0,52.0
Australia,2000,18991431,1.09 %,199671,77684,35.4,1.79,2,84.6 %,16060093,0.31 %,6143493823.0,51.0
Australia,1995,17993074,1.19 %,206495,70216,33.6,1.86,2,85.3 %,15346879,0.31 %,5744212979.0,51.0
Australia,1990,16960597,1.60 %,259387,130842,32.1,1.86,2,85.8 %,14558985,0.32 %,5327231061.0,49.0
Australia,1985,15663663,1.43 %,215052,90714,30.7,1.91,2,85.9 %,13461702,0.32 %,4870921740.0,47.0
Australia,1980,14588405,1.16 %,163023,47149,29.3,1.99,2,85.9 %,12532663,0.33 %,4458003514.0,46.0
Australia,1975,13773288,1.49 %,196051,51906,28.1,2.54,2,85.1 %,11727714,0.34 %,4079480606.0,42.0
Australia,1970,12793034,2.49 %,295968,161239,27.4,2.87,2,84.3 %,10787874,0.35 %,3700437046.0,42.0
Australia,1965,11313195,2.01 %,214224,76869,28.3,3.27,1,83.4 %,9439263,0.34 %,3339583597.0,42.0
Australia,1960,10242076,2.25 %,215274,79911,29.6,3.41,1,81.9 %,8389125,0.34 %,3034949748.0,39.0
Australia,1955,9165707,2.31 %,197673,79201,30.2,3.18,1,79.7 %,7309544,0.33 %,2773019936.0,42.0
Austria,2020,9006398,0.57 %,51296,65000,43.5,1.53,109,57.3 %,5159360,0.12 %,7794798739.0,97.0
Austria,2019,8955102,0.72 %,63714,65000,43.3,1.46,109,57.3 %,5129574,0.12 %,7713468100.0,97.0
Austria,2018,8891388,0.81 %,71487,65000,43.3,1.46,108,57.4 %,5102072,0.12 %,7631091040.0,97.0
Austria,2017,8819901,0.83 %,72600,65000,43.3,1.46,107,57.5 %,5074746,0.12 %,7547858925.0,98.0
Austria,2016,8747301,0.79 %,68641,65000,43.3,1.46,106,57.7 %,5044760,0.12 %,7464022049.0,97.0
Austria,2015,8678660,0.63 %,53742,53434,43.2,1.45,105,57.7 %,5008930,0.12 %,7379797139.0,97.0
Austria,2010,8409949,0.38 %,31260,30753,41.9,1.4,102,57.4 %,4827265,0.12 %,6956823603.0,95.0
Austria,2005,8253650,0.45 %,36875,35623,40.0,1.38,100,58.8 %,4854250,0.13 %,6541907027.0,91.0
Austria,2000,8069276,0.20 %,15831,13016,38.2,1.39,98,60.2 %,4858713,0.13 %,6143493823.0,90.0
Austria,1995,7990121,0.68 %,53234,45568,36.3,1.48,97,61.6 %,4921587,0.14 %,5744212979.0,84.0
Austria,1990,7723949,0.28 %,21816,22200,36.5,1.45,94,63.0 %,4863031,0.14 %,5327231061.0,83.0
Austria,1985,7614868,0.01 %,1023,3600,35.8,1.6,92,64.3 %,4896706,0.16 %,4870921740.0,79.0
Austria,1980,7609752,-0.07 %,-5587,1100,35.0,1.65,92,65.4 %,4976123,0.17 %,4458003514.0,74.0
Austria,1975,7637689,0.32 %,24290,16400,33.9,2.04,93,65.3 %,4990572,0.19 %,4079480606.0,66.0
Austria,1970,7516239,0.57 %,42216,10080,33.6,2.57,91,65.3 %,4904916,0.20 %,3700437046.0,66.0
Austria,1965,7305158,0.65 %,46878,3199,34.7,2.78,89,65.0 %,4749183,0.22 %,3339583597.0,59.0
Austria,1960,7070766,0.34 %,23472,-10400,35.4,2.57,86,64.7 %,4576187,0.23 %,3034949748.0,64.0
Austria,1955,6953406,0.05 %,3393,-15600,35.1,2.1,84,64.2 %,4461298,0.25 %,2773019936.0,59.0
Azerbaijan,2020,10139177,0.91 %,91459,1200,32.3,2.08,123,56.2 %,5695930,0.13 %,7794798739.0,90.0
Azerbaijan,2019,10047718,0.99 %,98181,1200,30.7,2.09,122,55.8 %,5611295,0.13 %,7713468100.0,90.0
Azerbaijan,2018,9949537,1.06 %,104217,1200,30.7,2.09,120,55.5 %,5525646,0.13 %,7631091040.0,91.0
Azerbaijan,2017,9845320,1.12 %,109277,1200,30.7,2.09,119,55.2 %,5438926,0.13 %,7547858925.0,90.0
Azerbaijan,2016,9736043,1.18 %,113298,1200,30.7,2.09,118,55.0 %,5351044,0.13 %,7464022049.0,91.0
Azerbaijan,2015,9622745,1.27 %,118057,1700,30.3,2.09,116,54.7 %,5262140,0.13 %,7379797139.0,91.0
Azerbaijan,2010,9032461,1.13 %,98771,10716,28.7,1.83,109,53.4 %,4823834,0.13 %,6956823603.0,91.0
